Anything new?;Was gibt es neues?
Profile;Profil
Newsfeed;Neuigkeiten
Wall;Wand
"The current password is wrong";"Das derzeitige Passwort stimmt nicht"
Contact;Kontakt
"Edit profile";"Profil bearbeiten"
"Edit Profile";"Profil bearbeiten"
"Your Profile";"Dein Profil"
"Startpage";"Startseite"
"Legal-Notice";"Impressum"
"Privacy";"Privatsphäre"
"Terms and Conditions";"AGBs"
"Search";"Suchen"
"Gallery";"Galerie"
"Friends";"Freunde"
"Memberlist";"Mitgliederliste"
"Conversations";"Unterhaltungen"
"Administration";"Administration"
"Logout";"Logout"
"Legal Notice";"Impressum"
"Terms & Conditions";"AGBs"
"Back";"Zurück"
"My Account";"Mein Konto"
"Images";"Bilder"
"Notifications";"Benachrichtigungen"
"General";"Generell"
"Change password";"Passwort ändern"
"Delete Account";"Konto löschen"
"Username";"Benutzername"
"I am";"Ich bin"
"Female";"Weiblich"
"Male";"Männlich"
"Save";"Speichern"
"Current Password";"Aktuelles Passwort"
"New Password";"Neues Passwort"
"Repeat new Password";"Neues Passwort wiederholen"
"Attention!";"Achtung!"
"If you delete your account, all your data will be deleted permanentely. None will be able to restore any photos, messages or posts!";"Wenn du deinen Account löschst gehen alle deine Daten permanent verloren!"
"Are You sure you want to delete your account?";"Willst du wirklich dein Konto löschen?"
"Yes, I am sure. Delete my account";"Ja, ich bin sicher. Konto löschen"
"Who is allowed to search you?";"Wer darf nach dir suchen?"
"No one";"Keiner"
"Friends";"Freunde"
"Everyboy";"Jeder"
"Who is allowed to see your profile-pins?";"Wer darf deine Profile Pins sehen?"
"Who is allowed to send you messages?";"Wer darf dir Nachrichten senden?"
"Who is allowed to see your Newsfeed-Posts?";"Wer darf deine Nachrichten sehen?"
"Profile Image";"Profilbild"
"Title Image";"Titelbild"
"Edit My Profile Image";"Profilbild bearbeiten"
"Profile-Image";"Profilbild"
"Select Photo";"Bild auswählen"
"You can upload jpg, gif and png files with a maximum file-size of";"Du kannst jpg, gif und png Dateien hochladen, die Größe ist beschränkt auf"
"Delete current Profile-Image";"Aktuelles Profilbild löschen"
"Uploading";"Lade hoch"
"Upload";"Hochladen"
"Edit My Title Image";"Titelbild bearbeiten"
"Title-Image";"Titelbild"
"Delete current Title-Image";"Aktuelles Titelbild löschen"
"Grab the pins to move them!";"Ziehe deine Pins um sie zu verschieben"
"Add a new Pin";"Neuen Pin hinzufügen"
"Add a new Profile-Pin";"Neuen Profil Pin hinzufügen"
"This field cannot be blank!";"Dieses Feld darf nicht leer sein!"
"Title";"Titel"
"Give the pin a title!";"Gib dem Pin einen Titel!"
"Type";"Typ"
"Choose a type";"Typ auswählen"
"Freestyle";"Freestyle"
"Icon";"Icon"
"Select an icon";"Icon auswählen"
"Content";"Inhalt"
"Select Information you want to present";"Informationen auswählen, die du darstellen möchten"
"Are You sure You want to delete this profile-pin?";"Bist du sicher, dass du diesen Profil Pin löschen möchtest?"
"Delete this Profile-Pin";"Diesen Profil Pin löschen"
"Create";"Erstellen"
"Update";"Aktualisieren"
"Notifications-Settings";"Benachrichtigungs Einstellungen"
"Select which kind of Notifications you want to receive";"Wähle aus welche Art von Benachrichtigungen du erhalten möchtest"
"Display a notification on this Website";"Eine Benachrichtigung auf dieser Seite darstellen"
"Send me an email";"Schick mir eine Nachricht"
"Someone posted on your Wall";"Jemand hat an deine Wand geschrieben"
"Someone sent you a message";"Jemand hat dir eine Nachricht geschickt"
"Someone add you to a conversation";"Jemand hat dich zu einer Unterhaltung hinzugefügt"
"Someone add you as a friend";"Jemand hat dich als Freund hinzugefügt"
"Someone confirms your friend-request";"Jemand hat deine Freundschaftsanfrage beantwortet"
"edit Pin";"Pin bearbeiten"
"Announcements";"Ankündigung"
"Activate Chat";"Chat aktivieren"
"Close all chat windows";"Alle Chat Fenster schließen"
"Deactivate Chat";"Chat deaktivieren"
"Write a message";"Nachricht schreiben"
"Add an emoticon";"Smiley hinzufügen"
"Close";"Schließen"
"Send Friend Request";"Freundschaftsanfrage versenden"
"Remove Friend Request";"Freundschaftsanfrage löschen"
"Relationshipstatus";"Beziehungsstatus"
"Confirm a friendship";"Freundschaft bestätigen"
"Block person";"Person blockieren"
"Unblock person";"Person nicht mehr blockieren"
"Are You sure You want to add this user as a friend?";"Bist du sicher, dass du diesen Benutzer als Freund hinzufügen möchtest?"
"Please send friend requests only to people you really know!";"Sende bitte Freundschaftsanfragen nur an Personen, die du wirklich kennst""
"Are You sure You want to remove this user as a friend?";"Bist du sicher, dass du diesen Freund aus deiner Freundesliste entfernen möchtest?"
"Are You sure you want to confirm this friendship?";"Bist du sicher, dass du diese Freundschaft bestätigen möchtest?"
"Please select a status for your relationship";"Wähle bitte einen Beziehungsstatus"
