Anything new?;Cosa c'è di nuovo?
Profile;Profilo
Newsfeed;Notizie
Wall;Pinboard
"The current password is wrong";"Password non è corretta"
Contact;Contatto
"Edit profile";"Modifica profilo"
"Edit Profile";"Modifica profilo"
"Your Profile";"Il tuo profilo"
"Startpage";"Pagina casa"
"Legal-Notice";"Impronta"
"Privacy";"Vita privata"
"Terms and Conditions";"Termini e Condizioni"
"Search";"Ricerca"
"Gallery";"Galleria"
"Friends";"Amici"
"Memberlist";"Lista utenti"
"Conversations";"Conversazioni"
"Administration";"Amministrazione"
"Logout";"Disconnettersi"
"Legal Notice";"Impronta"
"Terms & Conditions";"Termini e Condizioni"
"Back";"Indietro"
"My Account";"Il Mio Conto"
"Images";"Immagini"
"Notifications";"Notifiche"
"General";"Generale"
"Change password";"Cambiare la password"
"Delete Account";"Elimina account"
"Username";"Nome utente"
"I am";"Sono"
"Female";"femminile"
"Male";"Maschio"
"Save";"Salva"
"Current Password";"Password Attuale"
"New Password";"Nuova Password"
"Repeat new Password";"Ripetere nuova password"
"Attention!";"Attenzione!"
"If you delete your account, all your data will be deleted permanentely. None will be able to restore any photos, messages or posts!";"Se si elimina l'account, tutti i dati verranno cancellati permanentemente. Nessuno sarà in grado di ripristinare le foto o messaggi!"
"Are You sure you want to delete your account?";"Sei sicuro di voler eliminare il tuo account?"
"Yes, I am sure. Delete my account";"Sì, ne sono certo. Eliminare il mio conto"
"Who is allowed to search you?";"Chi è autorizzato a cercare te?"
"No one";"Nessuno"
"Friends";"Amici"
"Everybody";"Tutti"
"Who is allowed to see your profile-pins?";Chi è permesso di vedere il tuo profilo-pins?"
"Who is allowed to send you messages?";"Chi può inviare messaggi?"
"Who is allowed to see your Newsfeed-Posts?";"Chi è permesso di vedere i tuoi messaggi newsfeed?"
"Profile Image";"Immagine di profilo"
"Title Image";"Immagine di titolo"
"Edit My Profile Image";"Modifica il mio immagine di profilo"
"Profile-Image";"Immagine di profilo"
"Select Photo";"Selezionare Foto"
"You can upload jpg, gif and png files with a maximum file-size of";"È possibile caricare file jpg, gif e png con un file di dimensione massima di"
"Delete current Profile-Image";"Eliminare attuale immagine di profilo"
